Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
QQQ,597.74,Put,635,2026-03-20T16:30:00-05:00,8,"35.27 x 4","38.67 x 1",38.57,19000,mid,73283000,33557,2696,33.22%,-0.8870956739,MLFT,ToOpen,"15:45:40 ET"
QQQ,597.26,Put,635,2026-03-20T16:30:00-05:00,8,"35.40 x 54","39.22 x 10",37.1,15750,mid,58432500,49311,2696,0.00%,0,SLFT,N/A,"16:03:42 ET"
QQQ,597.74,Put,633,2026-03-20T16:30:00-05:00,8,"33.16 x 44","36.56 x 10",36.56,12580,ask,45992400,12584,1110,31.87%,-0.8844407453,MLFT,BuyToOpen,"15:45:40 ET"
QQQ,597.74,Put,635,2026-03-20T16:30:00-05:00,8,"35.06 x 15","38.67 x 1",36.69,10430,mid,38267600,33557,2696,33.22%,-0.8870956739,SLFT,N/A,"15:44:55 ET"
QQQ,597.74,Put,635,2026-03-20T16:30:00-05:00,8,"35.27 x 4","38.67 x 1",38.58,4120,mid,15894900,33557,2696,33.22%,-0.8870956739,MLFT,N/A,"15:45:40 ET"
QQQ,598.23,Put,590,2026-04-17T16:30:00-05:00,36,"15.52 x 23","15.56 x 39",15.54,9303,mid,14456800,11388,26884,26.97%,-0.4065637265,MLAT,N/A,"15:41:52 ET"
QQQ,601.5,Put,590,2027-09-17T16:30:00-05:00,554,"54.17 x 14","55.25 x 5",55.2,2500,mid,13800000,2500,109,24.41%,-0.3775458794,SLCN,ToOpen,"12:18:52 ET"
QQQ,597.26,Put,640,2026-03-20T16:30:00-05:00,8,"40.41 x 1","43.50 x 1",41.79,2600,mid,10865400,6744,257,0.00%,0,SLFT,N/A,"16:03:42 ET"
QQQ,597.74,Put,634,2026-03-20T16:30:00-05:00,8,"34.16 x 44","37.48 x 10",37.48,2790,ask,10456900,4674,266,32.01%,-0.8908460681,MLFT,BuyToOpen,"15:45:40 ET"
QQQ,597.74,Put,636,2026-03-20T16:30:00-05:00,8,"36.10 x 99","39.67 x 1",39.67,2630,ask,10433200,4058,193,34.37%,-0.8847546309,MLFT,BuyToOpen,"15:45:40 ET"
QQQ,597.26,Put,620,2026-03-13T16:30:00-05:00,1,"20.40 x 10","23.65 x 1",21.94,4500,mid,9873000,6217,440,0.00%,0,SLFT,ToOpen,"16:03:42 ET"
QQQ,597.74,Put,640,2026-03-20T16:30:00-05:00,8,"40.10 x 100","43.50 x 1",40.1,2310,bid,9263100,4144,257,0.00%,0,MLFT,SellToOpen,"15:45:52 ET"
QQQ,601.52,Put,630,2027-03-19T16:30:00-05:00,372,"62.52 x 2","63.24 x 2",62.73,1400,mid,8782200,2000,44,22.89%,-0.5072199358,MLCT,ToOpen,"10:14:14 ET"
QQQ,598.23,Put,595,2026-03-20T16:30:00-05:00,8,"8.73 x 6","8.79 x 32",8.76,9303,mid,8149400,17718,29993,29.63%,-0.4371282774,MLAT,N/A,"15:41:52 ET"
QQQ,601.52,Put,560,2027-03-19T16:30:00-05:00,372,"36.04 x 21","36.58 x 43",36.47,2200,mid,8023400,2205,855,26.35%,-0.3124149963,MLCT,ToOpen,"10:14:14 ET"
QQQ,597.74,Put,650,2026-03-20T16:30:00-05:00,8,"50.16 x 51","53.67 x 1",52.74,1460,mid,7700000,2509,146,35.16%,-0.9476375407,MLFT,ToOpen,"15:45:52 ET"
QQQ,597.74,Put,640,2026-03-20T16:30:00-05:00,8,"40.15 x 15","43.44 x 10",41.79,1820,mid,7605700,4144,257,0.00%,0,SLFT,N/A,"15:44:55 ET"
QQQ,598.97,Call,610,2027-03-19T16:30:00-05:00,372,"60.50 x 23","65.50 x 20",63.02,1200,mid,7562400,1206,101,24.79%,0.56819176470283,MLCT,ToOpen,"14:38:36 ET"
QQQ,597.26,Put,636,2026-03-20T16:30:00-05:00,8,"36.74 x 1","40.22 x 10",38.51,1950,mid,7509400,6012,193,0.00%,0,SLFT,N/A,"16:03:42 ET"
QQQ,597.26,Put,637,2026-03-20T16:30:00-05:00,8,"37.40 x 54","41.20 x 10",39.49,1850,mid,7305600,4178,185,0.00%,0,SLFT,N/A,"16:03:42 ET"
QQQ,597.26,Put,650,2026-03-20T16:30:00-05:00,8,"50.53 x 1","52.62 x 1",52.25,1300,mid,6792500,4009,146,0.00%,0,SLFT,N/A,"16:03:42 ET"
QQQ,597.74,Put,634,2026-03-20T16:30:00-05:00,8,"34.15 x 15","37.48 x 10",35.84,1880,mid,6737900,4674,266,32.01%,-0.8908460681,SLFT,N/A,"15:44:55 ET"
QQQ,600.12,Put,585,2026-05-15T16:30:00-05:00,64,"17.84 x 17","17.99 x 25",17.98,3497,mid,6287600,3569,5411,26.38%,-0.3713754412,MLAT,N/A,"12:16:09 ET"
QQQ,601.5,Put,595,2027-12-17T16:30:00-06:00,645,"59.77 x 4","61.04 x 4",61.03,1000,mid,6103000,1000,284,24.26%,-0.3847215491,SLCN,ToOpen,"12:20:23 ET"
QQQ,597.26,Put,612,2026-05-15T16:30:00-05:00,64,"29.78 x 36","31.08 x 36",30.32,2000,mid,6064000,2067,2305,23.77%,-0.5634264183,MLAT,N/A,"16:12:36 ET"
QQQ,600.18,Put,606,2026-03-20T16:30:00-05:00,8,"11.93 x 24","12.69 x 21",12.69,4600,ask,5837400,4980,3607,27.30%,-0.581821068,MLCT,BuyToOpen,"11:41:02 ET"
QQQ,597.74,Put,636,2026-03-20T16:30:00-05:00,8,"36.15 x 15","39.44 x 10",37.8,1370,mid,5178500,4058,193,34.37%,-0.8847546309,SLFT,N/A,"15:44:55 ET"
QQQ,597.74,Put,637,2026-03-20T16:30:00-05:00,8,"37.06 x 1","40.49 x 10",38.85,1270,mid,4933900,2326,185,33.90%,-0.8952188894,SLFT,ToOpen,"15:44:55 ET"
QQQ,598.78,Call,700,2028-01-21T16:30:00-06:00,680,"46.68 x 28","48.71 x 3",47.9,1000,mid,4790000,1001,1215,22.05%,0.42625249370617,MLCT,N/A,"14:50:27 ET"
QQQ,597.26,Put,597,2026-05-15T16:30:00-05:00,64,"23.73 x 41","23.99 x 50",23.94,2000,mid,4788000,2035,971,25.65%,-0.4616429639,MLAT,ToOpen,"16:12:36 ET"
QQQ,600.12,Put,585,2026-04-17T16:30:00-05:00,36,"12.90 x 19","13.00 x 59",12.9,3497,bid,4511100,7164,18765,27.40%,-0.3555061062,MLAT,N/A,"12:16:09 ET"
