Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
SPY,669.93,Put,660,2026-03-27T16:30:00-05:00,11,"7.09 x 197","7.13 x 188",7.13,55313,ask,39438100,58042,5080,24.82%,-0.3505738636,MLAT,BuyToOpen,"14:15:44 ET"
SPY,669.93,Put,660,2026-03-20T16:30:00-05:00,4,"3.91 x 167","3.93 x 168",3.91,54813,bid,21431800,136879,188827,28.23%,-0.2984965766,MLAT,N/A,"14:15:44 ET"
SPY,669.93,Put,645,2026-03-27T16:30:00-05:00,11,"3.84 x 178","3.87 x 220",3.85,55313,mid,21295500,56244,6631,27.68%,-0.2038012684,MLAT,ToOpen,"14:15:44 ET"
SPY,669.895,Put,665,2026-04-02T16:30:00-05:00,17,"10.38 x 152","10.43 x 62",10.4,15000,mid,15600000,15369,16685,22.80%,-0.4231247016,MLCT,N/A,"11:40:41 ET"
SPY,667.82,Put,675,2026-04-17T16:30:00-05:00,32,"18.42 x 45","18.61 x 68",18.51,5000,mid,9255000,7415,20755,19.93%,-0.5495800192,MLCT,N/A,"10:46:23 ET"
SPY,668.77,Put,690,2026-09-18T16:30:00-05:00,186,"42.36 x 49","42.48 x 163",42.38,2000,mid,8476000,2011,4058,18.30%,-0.5469732003,MLCT,N/A,"11:06:07 ET"
SPY,670.91,Put,700,2026-03-20T16:30:00-05:00,4,"29.95 x 30","30.97 x 30",30.49,2700,mid,8232300,3002,8503,35.07%,-0.8724787854,MLCT,N/A,"10:24:40 ET"
SPY,669.895,Put,640,2026-04-02T16:30:00-05:00,17,"4.58 x 286","4.61 x 205",4.59,17500,mid,8032500,20316,1871,27.19%,-0.2044225553,MLCT,ToOpen,"11:40:41 ET"
SPY,669.93,Put,645,2026-03-20T16:30:00-05:00,4,"1.35 x 271","1.37 x 563",1.37,55313,ask,7577800,65908,164374,31.47%,-0.1198651607,MLAT,N/A,"14:15:44 ET"
SPY,668.77,Put,705,2026-03-20T16:30:00-05:00,4,"37.42 x 11","37.58 x 11",37.52,2000,mid,7504000,2011,5585,40.00%,-0.89267666,MLCT,N/A,"11:06:07 ET"
SPY,669.53,Put,640,2026-04-17T16:30:00-05:00,32,"7.61 x 85","7.64 x 199",7.62,8397,mid,6398500,10717,52453,24.99%,-0.2498168942,MLAT,N/A,"13:24:17 ET"
SPY,669.895,Put,660,2026-03-20T16:30:00-05:00,4,"4.02 x 293","4.05 x 155",4.02,15000,bid,6029900,63644,188827,29.35%,-0.3057422055,MLCT,N/A,"11:40:41 ET"
SPY,667.82,Put,645,2026-04-17T16:30:00-05:00,32,"9.02 x 156","9.06 x 91",9.03,5000,mid,4515000,5659,46380,24.48%,-0.2931124413,MLCT,N/A,"10:46:23 ET"
SPY,669.85,Put,670,2026-03-20T16:30:00-05:00,4,"7.73 x 140","7.76 x 129",7.73,5000,bid,3865000,7316,52689,27.44%,-0.4941630502,TLCT,N/A,"09:51:58 ET"
SPY,669.53,Put,660,2026-03-20T16:30:00-05:00,4,"4.07 x 58","4.09 x 209",4.07,8397,bid,3417500,80554,188827,28.95%,-0.3097808642,MLAT,N/A,"13:24:17 ET"
SPY,669.53,Put,610,2026-04-17T16:30:00-05:00,32,"3.73 x 221","3.75 x 60",3.73,8397,bid,3132000,17327,42801,29.16%,-0.1257043083,MLAT,N/A,"13:24:17 ET"
SPY,669.14,Put,685,2026-03-17T16:30:00-05:00,1,"15.73 x 3","15.86 x 51",15.83,1930,mid,3055100,1975,372,0.00%,0,MFSL,ToOpen,"15:32:42 ET"
SPY,669.895,Put,635,2026-03-20T16:30:00-05:00,4,"0.73 x 588","0.74 x 240",0.74,40000,ask,2960000,46192,76036,35.06%,-0.0690256495,MLCT,N/A,"11:40:41 ET"
SPY,668.59,Put,636,2026-04-17T16:30:00-05:00,32,"7.55 x 3730","7.58 x 185",7.55,3730,bid,2816100,4004,1170,26.10%,-0.2380305869,AUTO,SellToOpen,"09:31:49 ET"
SPY,670.29,Put,640,2026-07-31T16:30:00-05:00,137,"20.81 x 170","20.89 x 170",20.74,1175,bid,2436900,1307,3325,22.48%,-0.3211714658,MFSL,N/A,"09:55:40 ET"
SPY,668.77,Call,730,2026-09-18T16:30:00-05:00,186,"11.62 x 157","11.66 x 190",11.64,2000,mid,2328000,2659,37928,15.60%,0.26971458357763,MLCT,N/A,"11:06:07 ET"
SPY,670.13,Put,663,2026-03-27T16:30:00-05:00,11,"7.89 x 116","7.92 x 70",7.92,2860,ask,2265100,3705,609,24.60%,-0.386923385,MLAT,BuyToOpen,"11:43:44 ET"
SPY,669.03,Call,800,2027-03-19T16:30:00-05:00,368,"8.03 x 213","8.11 x 243",8.09,2583,mid,2089600,21044,41306,14.59%,0.16515575107554,MLET,N/A,"16:08:27 ET"
SPY,669.03,Call,730,2026-09-18T16:30:00-05:00,186,"11.46 x 112","11.51 x 237",11.48,1755,mid,2014700,13122,37928,15.49%,0.26922030041874,MLET,N/A,"16:02:38 ET"
SPY,669.03,Call,730,2026-09-18T16:30:00-05:00,186,"11.53 x 207","11.61 x 181",11.59,1722,mid,1995700,17347,37928,15.46%,0.26873116530125,MLET,N/A,"16:08:27 ET"
SPY,667.82,Put,650,2026-03-31T16:30:00-05:00,15,"6.51 x 100","6.54 x 81",6.54,3000,ask,1962000,8754,29723,26.31%,-0.2906842461,MLAT,N/A,"10:48:41 ET"
SPY,670.555,Call,680,2026-03-23T16:30:00-05:00,7,"2.70 x 428","2.73 x 304",2.72,7049,mid,1917300,11101,11280,16.56%,0.28194364877732,MLAT,N/A,"10:11:47 ET"
SPY,668.38,Put,660,2026-03-31T16:30:00-05:00,15,"9.15 x 152","9.19 x 128",9.17,2024,mid,1856000,3696,25680,24.24%,-0.3822485681,MLAT,N/A,"10:44:24 ET"
SPY,670.555,Call,685,2026-03-23T16:30:00-05:00,7,"1.19 x 58","1.21 x 285",1.21,14098,ask,1705800,20569,10693,15.05%,0.16150742617522,MLAT,N/A,"10:11:47 ET"
SPY,668.54,Put,655,2026-04-17T16:30:00-05:00,32,"11.08 x 177","11.20 x 116",11.16,1471,mid,1641600,6111,13409,22.61%,-0.3561647926,MLET,N/A,"15:49:44 ET"
SPY,669.32,Put,636,2026-04-17T16:30:00-05:00,32,"7.37 x 166","7.41 x 225",7.41,2025,ask,1500500,10575,1170,25.97%,-0.2326869919,AUTO,N/A,"09:37:45 ET"
SPY,667.55,Put,595,2026-06-18T16:30:00-05:00,94,"9.21 x 359","9.22 x 1622",9.22,1622,ask,1495400,1670,29662,27.41%,-0.1731369035,AUTO,N/A,"12:26:12 ET"
SPY,669.03,Call,800,2027-03-19T16:30:00-05:00,368,"7.98 x 328","8.05 x 244",8.01,1821,mid,1458600,15044,41306,14.59%,0.16498537329723,MLET,N/A,"16:02:38 ET"
SPY,667.82,Put,640,2026-03-31T16:30:00-05:00,15,"4.60 x 190","4.63 x 190",4.61,3000,mid,1383000,3363,26897,28.01%,-0.2133523047,MLAT,N/A,"10:48:41 ET"
SPY,668.54,Put,655,2026-04-17T16:30:00-05:00,32,"11.08 x 140","11.20 x 107",11.23,1231,ask,1382400,6111,13409,22.61%,-0.3561647926,MLET,N/A,"15:49:44 ET"
SPY,668.54,Put,655,2026-03-20T16:30:00-05:00,4,"2.97 x 163","3.00 x 410",2.98,4500,mid,1341000,28961,55459,28.86%,-0.2417072956,TLCT,N/A,"15:46:55 ET"
SPY,669.6,Put,636,2026-04-17T16:30:00-05:00,32,"6.84 x 112","6.86 x 88",6.84,1834,bid,1254400,20653,1170,25.25%,-0.2253471717,AUTO,N/A,"14:09:18 ET"
SPY,669.03,Call,800,2027-03-19T16:30:00-05:00,368,"8.02 x 243","8.10 x 176",8.06,1500,mid,1209000,21044,41306,14.59%,0.16515575107554,MLET,N/A,"16:07:12 ET"
SPY,667.82,Put,635,2026-03-31T16:30:00-05:00,15,"3.85 x 197","3.88 x 172",3.87,3000,mid,1161000,3098,9287,28.82%,-0.1818581699,MLAT,N/A,"10:48:41 ET"
SPY,668.54,Put,640,2026-04-17T16:30:00-05:00,32,"7.69 x 161","7.77 x 9",7.72,1471,mid,1135600,17553,52453,24.79%,-0.2547416524,MLET,N/A,"15:49:44 ET"
SPY,669.03,Call,800,2027-03-19T16:30:00-05:00,368,"8.03 x 282","8.10 x 95",8.08,1245,mid,1005900,7543,41306,14.58%,0.16492853684984,MLET,N/A,"16:00:36 ET"
SPY,670.13,Put,643,2026-03-27T16:30:00-05:00,11,"3.50 x 158","3.52 x 182",3.5,2860,bid,1001000,3612,2183,28.42%,-0.1903102932,MLAT,N/A,"11:43:44 ET"
